Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
icecream_id,icecream_scenario_4,,text,Ice Cream ID,,,,,,,,,,,,,
s4_num_orders,icecream_scenario_4,,text,How many orders?,,Max orders: 10,integer,0,10,,,y,,,,,
s4_order1_name,icecream_scenario_4,Order #1 [s4_order1_name],text,[Order #1] Name on the order,,,,,,,[s4_num_orders] > 0,y,,,,,
s4_order1_containers,icecream_scenario_4,,radio,[Order #1] What ice cream container technology for [s4_order1_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 0 and [s4_order1_name],y,,,,,
s4_order1_toppings,icecream_scenario_4,,checkbox,[Order #1] What toppings does [s4_order1_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 0 and [s4_order1_name],y,,,,,
s4_order1_scoops,icecream_scenario_4,,text,[Order #1] How many scoops does [s4_order1_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 0 and [s4_order1_name],y,,,,,
s4_order1_scoop1,icecream_scenario_4,,radio,[Order #1] What flavor does [s4_order1_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 0 and [s4_order1_name] and [s4_order1_scoops] > 0,y,,,,,
s4_order1_scoop2,icecream_scenario_4,,radio,[Order #1] What flavor does [s4_order1_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 0 and [s4_order1_name] and [s4_order1_scoops] > 1,y,,,,,
s4_order1_scoop3,icecream_scenario_4,,radio,[Order #1] What flavor does [s4_order1_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 0 and [s4_order1_name] and [s4_order1_scoops] > 2,y,,,,,
s4_order2_name,icecream_scenario_4,Order #2 [s4_order2_name],text,[Order #2] Name on the order,,,,,,,[s4_num_orders] > 1,y,,,,,
s4_order2_containers,icecream_scenario_4,,radio,[Order #2] What ice cream container technology for [s4_order2_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 1 and [s4_order2_name],y,,,,,
s4_order2_toppings,icecream_scenario_4,,checkbox,[Order #2] What toppings does [s4_order2_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 1 and [s4_order2_name],y,,,,,
s4_order2_scoops,icecream_scenario_4,,text,[Order #2] How many scoops does [s4_order2_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 1 and [s4_order2_name],y,,,,,
s4_order2_scoop1,icecream_scenario_4,,radio,[Order #2] What flavor does [s4_order2_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 1 and [s4_order2_name] and [s4_order2_scoops] > 0,y,,,,,
s4_order2_scoop2,icecream_scenario_4,,radio,[Order #2] What flavor does [s4_order2_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 1 and [s4_order2_name] and [s4_order2_scoops] > 1,y,,,,,
s4_order2_scoop3,icecream_scenario_4,,radio,[Order #2] What flavor does [s4_order2_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 1 and [s4_order2_name] and [s4_order2_scoops] > 2,y,,,,,
s4_order3_name,icecream_scenario_4,Order #3 [s4_order3_name],text,[Order #3] Name on the order,,,,,,,[s4_num_orders] > 2,y,,,,,
s4_order3_containers,icecream_scenario_4,,radio,[Order #3] What ice cream container technology for [s4_order3_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 2 and [s4_order3_name],y,,,,,
s4_order3_toppings,icecream_scenario_4,,checkbox,[Order #3] What toppings does [s4_order3_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 2 and [s4_order3_name],y,,,,,
s4_order3_scoops,icecream_scenario_4,,text,[Order #3] How many scoops does [s4_order3_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 2 and [s4_order3_name],y,,,,,
s4_order3_scoop1,icecream_scenario_4,,radio,[Order #3] What flavor does [s4_order3_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 2 and [s4_order3_name] and [s4_order3_scoops] > 0,y,,,,,
s4_order3_scoop2,icecream_scenario_4,,radio,[Order #3] What flavor does [s4_order3_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 2 and [s4_order3_name] and [s4_order3_scoops] > 1,y,,,,,
s4_order3_scoop3,icecream_scenario_4,,radio,[Order #3] What flavor does [s4_order3_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 2 and [s4_order3_name] and [s4_order3_scoops] > 2,y,,,,,
s4_order4_name,icecream_scenario_4,Order #4 [s4_order4_name],text,[Order #4] Name on the order,,,,,,,[s4_num_orders] > 3,y,,,,,
s4_order4_containers,icecream_scenario_4,,radio,[Order #4] What ice cream container technology for [s4_order4_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 3 and [s4_order4_name],y,,,,,
