Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
icecream_id,ice_cream_scenario_5,,text,Ice Cream ID,,,,,,,,,,,,,
s5_sec_intro,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important;""><br />  <div><img style=""width: 100%; height: 350px; object-fit: cover; object-position: center "" src=""https://f2.phage.directory/blogalog/dalle-icecap-landscape.jpg"" /></div>  <h1 style=""font-weight: 300; text-align: center"">🍦🍧🍨 ICECap Creamery 🍦🍧🍨</h1>  <h3 style=""font-weight: 400; padding: 16px; text-align: center"">How many ice creams? {s5_num_orders}</h3></div>",,,,,,,,,,,,,
s5_num_orders,ice_cream_scenario_5,,text,How many orders?,,Max orders: 5,integer,0,5,,,y,,,,,
s5_order1_fancy_name,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important; padding: 16px; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0; "">  <div>Name on order #1    <div style=""padding-top: 8px;"">{s5_order1_name}<div>  </div></div>",,,,,,,[s5_num_orders] > 0,,,,,,
s5_order1_fancy_basics,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">  <div style=""display: grid; grid-template-columns: 1fr 1fr;"">    <div style=""padding: 16px;"">Holder:      <div style=""padding-top: 8px;"">{s5_order1_containers}</div>    </div>    <div style=""padding: 16px;"">Toppings:      <div style=""padding-top: 8px;"">{s5_order1_toppings}</div>    </div>  </div>  <div style=""padding: 16px;"">How many scoops of ice cream for [s5_order1_name]?    <div>{s5_order1_scoops}</div>  </div></div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name],,,,,,
s5_order1_name,ice_cream_scenario_5,,text,[Order #1] Name on the order,,,,,,,[s5_num_orders] > 0,y,,,,,
s5_order1_containers,ice_cream_scenario_5,,radio,[Order #1] What ice cream container technology for [s5_order1_name]?,"cup,Cup | cone,Cone | Waffle, Waffle Cone | taco, Taco shell | burrito, Burrito",,,,,,[s5_num_orders] > 0 and [s5_order1_name],y,,,,,
s5_order1_toppings,ice_cream_scenario_5,,checkbox,[Order #1] What toppings does [s5_order1_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing | jerky, Beef Jerky",,,,,,[s5_num_orders] > 0 and [s5_order1_name],y,,,,,
s5_order1_scoops,ice_cream_scenario_5,,text,[Order #1] How many scoops does [s5_order1_name] want?,,Max scoops: 9,integer,,9,,[s5_num_orders] > 0 and [s5_order1_name],y,,,,,
s5_order1_bottom,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 8px; border-bottom: 2px solid #ccc; border-bottom-left-radius: 4px; border-bottom-right-radius: 4px;""><br></div>",,,,,,,[s5_num_orders] > 0,,,,,,
s5_order1_fancy_scoops_1,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 1 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop1}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 0 ,,,,,,
s5_order1_fancy_scoops_2,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 2 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop2}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 1 ,,,,,,
s5_order1_fancy_scoops_3,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 3 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop3}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 2 ,,,,,,
s5_order1_fancy_scoops_4,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 4 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop4}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 3 ,,,,,,
