Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name
dyn_record_id,dynamic_ice_cream,,text,Record ID,,,,,,,,,,,
dyn_num_cones,dynamic_ice_cream,,text,How many cones?,,,integer,,5,,,y,,,
dyn_num_scoops_cone_1,dynamic_ice_cream,,text,How many scoops for cone 1?,,,integer,,3,,[dyn_num_cones] > 0,y,,,
dyn_num_scoops_cone_2,dynamic_ice_cream,,text,How many scoops for cone 2?,,,integer,,3,,[dyn_num_cones] > 1,y,,,
dyn_num_scoops_cone_3,dynamic_ice_cream,,text,How many scoops for cone 3?,,,integer,,3,,[dyn_num_cones] > 2,y,,,
dyn_num_scoops_cone_4,dynamic_ice_cream,,text,How many scoops for cone 4?,,,integer,,3,,[dyn_num_cones] > 3,y,,,
dyn_num_scoops_cone_5,dynamic_ice_cream,,text,How many scoops for cone 5?,,,integer,,3,,[dyn_num_cones] > 4,y,,,
dyn_flavor_cone1_scoop1,dynamic_ice_cream,,radio,"What flavor do you want for cone 1, scoop 1?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 0 and [dyn_num_scoops_cone_1] > 0,y,,,
dyn_flavor_cone1_scoop2,dynamic_ice_cream,,radio,"What flavor do you want for cone 1, scoop 2?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 0 and [dyn_num_scoops_cone_1] > 1,y,,,
dyn_flavor_cone1_scoop3,dynamic_ice_cream,,radio,"What flavor do you want for cone 1, scoop 3?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 0 and [dyn_num_scoops_cone_1] > 2,y,,,
dyn_flavor_cone2_scoop1,dynamic_ice_cream,,radio,"What flavor do you want for cone 2, scoop 1?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 1 and [dyn_num_scoops_cone_2] > 0,y,,,
dyn_flavor_cone2_scoop2,dynamic_ice_cream,,radio,"What flavor do you want for cone 2, scoop 2?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 1 and [dyn_num_scoops_cone_2] > 1,y,,,
dyn_flavor_cone2_scoop3,dynamic_ice_cream,,radio,"What flavor do you want for cone 2, scoop 3?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 1 and [dyn_num_scoops_cone_2] > 2,y,,,
dyn_flavor_cone3_scoop1,dynamic_ice_cream,,radio,"What flavor do you want for cone 3, scoop 1?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 2 and [dyn_num_scoops_cone_3] > 0,y,,,
dyn_flavor_cone3_scoop2,dynamic_ice_cream,,radio,"What flavor do you want for cone 3, scoop 2?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 2 and [dyn_num_scoops_cone_3] > 1,y,,,
dyn_flavor_cone3_scoop3,dynamic_ice_cream,,radio,"What flavor do you want for cone 3, scoop 3?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 2 and [dyn_num_scoops_cone_3] > 2,y,,,
dyn_flavor_cone4_scoop1,dynamic_ice_cream,,radio,"What flavor do you want for cone 4, scoop 1?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 3 and [dyn_num_scoops_cone_4] > 0,y,,,
dyn_flavor_cone4_scoop2,dynamic_ice_cream,,radio,"What flavor do you want for cone 4, scoop 2?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 3 and [dyn_num_scoops_cone_4] > 1,y,,,
dyn_flavor_cone4_scoop3,dynamic_ice_cream,,radio,"What flavor do you want for cone 4, scoop 3?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 3 and [dyn_num_scoops_cone_4] > 2,y,,,
dyn_flavor_cone5_scoop1,dynamic_ice_cream,,radio,"What flavor do you want for cone 5, scoop 1?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 4 and [dyn_num_scoops_cone_5] > 0,y,,,
dyn_flavor_cone5_scoop2,dynamic_ice_cream,,radio,"What flavor do you want for cone 5, scoop 2?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 4 and [dyn_num_scoops_cone_5] > 1,y,,,
dyn_flavor_cone5_scoop3,dynamic_ice_cream,,radio,"What flavor do you want for cone 5, scoop 3?","vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana",,,,,,[dyn_num_cones] > 4 and [dyn_num_scoops_cone_5] > 2,y,,,
